,molecule_id,mutated_before,well_id,leftUID,rightUID,id0,UID_left_mutation,UID_right_mutation
0,0,False,0,8201,8201,37,0,0
1,0,False,0,1026,16422,76,0,0
2,0,False,0,2062,16499,230,0,0
3,0,False,0,259,259,447,0,0
4,0,False,0,8374,8374,729,0,0
5,0,False,0,525,16814,860,0,0
6,0,False,0,526,16844,920,0,0
7,0,False,0,1053,16852,936,0,0
8,0,False,0,1054,16868,968,0,0
9,0,False,0,2120,16963,1158,0,0
10,0,False,0,530,16972,1176,0,0
11,0,False,0,4245,16981,1194,0,0
12,0,False,0,8491,8491,1197,0,0
13,0,False,0,1066,17063,1358,0,0
14,0,False,0,2136,17090,1412,0,0
15,0,False,0,4284,17137,1506,0,0
16,0,False,0,8584,8584,1569,0,0
17,0,False,0,8585,8585,1573,0,0
18,0,False,0,134,17200,1632,0,0
19,0,False,0,540,17292,1816,0,0
20,0,False,0,8660,8660,1873,0,0
21,0,False,0,8673,8673,1925,0,0
22,0,False,0,1085,17367,1966,0,0
23,0,False,0,1097,1097,2351,0,0
24,0,False,0,4391,4391,2363,0,0
25,0,False,0,1099,1099,2415,0,0
26,0,False,0,8826,8826,2537,0,0
27,0,False,0,553,17711,2654,0,0
28,0,False,0,554,554,2719,0,0
29,0,False,0,1109,1109,2735,0,0
30,0,False,0,2220,17762,2756,0,0
31,0,False,0,2236,17890,3012,0,0
32,0,False,0,4481,17925,3082,0,0
33,0,False,0,140,17976,3184,0,0
34,0,False,0,281,18012,3256,0,0
35,0,False,0,281,281,3263,0,0
36,0,False,0,4506,4506,3283,0,0
37,0,False,0,1132,18118,3468,0,0
38,0,False,0,9090,9090,3593,0,0
39,0,False,0,9093,9093,3605,0,0
40,0,False,0,2283,18267,3766,0,0
41,0,False,0,2296,2296,3975,0,0
42,0,False,0,9190,9190,3993,0,0
43,0,False,0,4601,4601,4043,0,0
44,0,False,0,9234,9234,4169,0,0
45,0,False,0,577,18478,4188,0,0
46,0,False,0,9283,9283,4365,0,0
47,0,False,0,9290,9290,4393,0,0
48,0,False,0,145,18592,4416,0,0
49,0,False,0,4673,18693,4618,0,0
50,0,False,0,146,18720,4672,0,0
51,0,False,0,586,18760,4752,0,0
52,0,False,0,2348,18787,4806,0,0
53,0,False,0,2365,2365,5079,0,0
54,0,False,0,1184,1184,5135,0,0
55,0,False,0,9548,9548,5425,0,0
56,0,False,0,298,19100,5432,0,0
57,0,False,0,4779,19117,5466,0,0
58,0,False,0,9584,9584,5569,0,0
59,0,False,0,2406,19250,5732,0,0
60,0,False,0,9629,9629,5749,0,0
61,0,False,0,9662,9662,5881,0,0
62,0,False,0,1211,19380,5992,0,0
63,0,False,0,9714,9714,6089,0,0
64,0,False,0,1218,19494,6220,0,0
65,0,False,0,4881,4881,6283,0,0
66,0,False,0,1221,19542,6316,0,0
67,0,False,0,1230,19687,6606,0,0
68,0,False,0,4924,4924,6627,0,0
69,0,False,0,9887,9887,6781,0,0
70,0,False,0,1246,19940,7112,0,0
71,0,False,0,4988,19953,7138,0,0
72,0,False,0,4991,4991,7163,0,0
73,0,False,0,2499,19994,7220,0,0
74,0,False,0,625,625,7263,0,0
75,0,False,0,1254,20068,7368,0,0
76,0,False,0,1262,20196,7624,0,0
77,0,False,0,10099,10099,7629,0,0
78,0,False,0,10143,10143,7805,0,0
79,0,False,0,2549,20395,8022,0,0
80,0,False,0,5117,5117,8171,0,0
81,0,False,0,2560,2560,8199,0,0
82,0,False,0,641,641,8287,0,0
83,0,False,0,10271,10271,8317,0,0
84,0,False,0,5144,20577,8386,0,0
85,0,False,0,5160,5160,8515,0,0
86,0,False,0,161,20664,8560,0,0
87,0,False,0,2602,2602,8871,0,0
88,0,False,0,5245,20981,9194,0,0
89,0,False,0,10495,10495,9213,0,0
90,0,False,0,656,656,9247,0,0
91,0,False,0,5255,21021,9274,0,0
92,0,False,0,657,21038,9308,0,0
93,0,False,0,658,21068,9368,0,0
94,0,False,0,10579,10579,9549,0,0
95,0,False,0,10607,10607,9661,0,0
96,0,False,0,1326,21222,9676,0,0
97,0,False,0,332,21278,9788,0,0
98,0,False,0,667,21359,9950,0,0
99,0,False,0,10719,10719,10109,0,0
100,0,False,0,5379,5379,10267,0,0
101,0,False,0,682,21838,10908,0,0
102,0,False,0,2730,2730,10919,0,0
103,0,False,0,5480,21921,11074,0,0
104,0,False,0,1370,21924,11080,0,0
105,0,False,0,5486,21945,11122,0,0
106,0,False,0,171,171,11135,0,0
107,0,False,0,1374,21991,11214,0,0
