,molecule_id,mutated_before,well_id,leftUID,rightUID,id0,UID_left_mutation,UID_right_mutation,leftWBC,rightWBC,id1,left_side,WBC_left_mutation,WBC_right_mutation
94,0,False,0,8491,8491,1197,0,0,1,1,220515,0,0,0
95,0,False,0,8491,8491,1197,0,0,1,1,229243,0,0,0
96,0,False,0,8491,8491,1197,0,0,1,1,260599,0,0,0
97,0,False,0,1066,17063,1358,0,0,1,1,5458,1,0,0
98,0,False,0,1066,17063,1358,0,0,1,1,166879,0,0,0
99,0,False,0,1066,17063,1358,0,0,1,1,220515,0,0,0
100,0,False,0,1066,17063,1358,0,0,1,1,260599,0,0,0
101,0,False,0,2136,17090,1412,0,0,1,1,7238,1,0,0
102,0,False,0,2136,17090,1412,0,0,1,1,130068,1,0,0
103,0,False,0,2136,17090,1412,0,0,1,1,166879,0,0,0
104,0,False,0,2136,17090,1412,0,0,1,1,220515,0,0,0
105,0,False,0,4284,17137,1506,0,0,1,1,7238,1,0,0
106,0,False,0,4284,17137,1506,0,0,1,1,116602,1,0,0
107,0,False,0,4284,17137,1506,0,0,1,1,130068,1,0,0
108,0,False,0,4284,17137,1506,0,0,1,1,136291,0,0,0
109,0,False,0,4284,17137,1506,0,0,1,1,161135,0,0,0
110,0,False,0,8584,8584,1569,0,0,1,1,26703,1,0,0
111,0,False,0,8584,8584,1569,0,0,1,1,62875,1,0,0
112,0,False,0,8584,8584,1569,0,0,1,1,116602,1,0,0
113,0,False,0,8584,8584,1569,0,0,1,1,136291,0,0,0
114,0,False,0,8584,8584,1569,0,0,1,1,160270,0,0,0
115,0,False,0,8584,8584,1569,0,0,1,1,161135,0,0,0
116,0,False,0,8584,8584,1569,0,0,1,1,186825,0,0,0
117,0,False,0,8584,8584,1569,0,0,1,1,245021,0,0,0
118,0,False,0,8584,8584,1569,0,0,1,1,247710,0,0,0
119,0,False,0,8585,8585,1573,0,0,1,1,26703,1,0,0
120,0,False,0,8585,8585,1573,0,0,1,1,62875,1,0,0
121,0,False,0,8585,8585,1573,0,0,1,1,116602,1,0,0
122,0,False,0,8585,8585,1573,0,0,1,1,160270,0,0,0
123,0,False,0,8585,8585,1573,0,0,1,1,186825,0,0,0
124,0,False,0,8585,8585,1573,0,0,1,1,247710,0,0,0
125,0,False,0,134,17200,1632,0,0,1,1,24829,1,0,0
126,0,False,0,134,17200,1632,0,0,1,1,26703,1,0,0
127,0,False,0,134,17200,1632,0,0,1,1,140475,0,0,0
128,0,False,0,134,17200,1632,0,0,1,1,160270,0,0,0
129,0,False,0,134,17200,1632,0,0,1,1,186825,0,0,0
130,0,False,0,134,17200,1632,0,0,1,1,202335,0,0,0
131,0,False,0,134,17200,1632,0,0,1,1,223128,0,0,0
132,0,False,0,134,17200,1632,0,0,1,1,245021,0,0,0
133,0,False,0,134,17200,1632,0,0,1,1,247710,0,0,0
134,0,False,0,540,17292,1816,0,0,1,1,24829,1,0,0
135,0,False,0,540,17292,1816,0,0,1,1,51624,1,0,0
136,0,False,0,540,17292,1816,0,0,1,1,125647,1,0,0
137,0,False,0,540,17292,1816,0,0,1,1,140475,0,0,0
138,0,False,0,540,17292,1816,0,0,1,1,160270,0,0,0
139,0,False,0,540,17292,1816,0,0,1,1,186825,0,0,0
140,0,False,0,540,17292,1816,0,0,1,1,202335,0,0,0
141,0,False,0,540,17292,1816,0,0,1,1,223128,0,0,0
142,0,False,0,540,17292,1816,0,0,1,1,245021,0,0,0
143,0,False,0,8660,8660,1873,0,0,1,1,24829,1,0,0
144,0,False,0,8660,8660,1873,0,0,1,1,140475,0,0,0
145,0,False,0,8660,8660,1873,0,0,1,1,202335,0,0,0
146,0,False,0,8660,8660,1873,0,0,1,1,223128,0,0,0
147,0,False,0,8660,8660,1873,0,0,1,1,245021,0,0,0
