well_id,molecule_id,UID,mean,len
0,0,4,0.0,10
0,0,5,0.0,10
0,0,17,0.0,14
0,0,30,0.0,4
0,0,59,0.0,8
0,0,69,0.0,10
0,0,72,0.0,2
0,0,80,0.0,18
0,0,117,0.0,10
0,0,171,0.0,6
0,0,174,0.0,12
0,0,187,0.0,10
0,0,189,0.0,8
0,0,199,0.0,6
0,0,228,0.0,4
0,0,232,0.0,20
0,0,282,0.0,8
0,0,307,0.0,8
0,0,340,0.0,6
0,0,357,0.0,28
0,0,358,0.0,10
0,0,365,0.0,14
0,0,385,0.0,12
0,0,393,0.0,6
0,0,400,0.0,10
0,0,444,0.0,6
0,0,449,0.0,8
0,0,451,0.0,2
0,0,485,0.0,24
0,0,492,0.0,4
0,0,501,0.0,10
0,0,543,0.0,8
0,0,557,0.0,10
0,0,566,0.0,16
0,0,605,0.0,6
0,0,651,0.0,8
0,0,654,0.0,10
0,0,713,0.0,8
0,0,757,0.0,28
0,0,770,0.0,4
0,0,779,0.0,14
0,0,798,0.0,30
0,0,863,0.0,12
0,0,907,0.0,10
0,0,928,0.0,30
0,0,985,0.0,4
0,0,1024,0.0,2
0,0,1029,0.0,8
0,0,1066,0.0,2
0,0,1081,0.0,10
0,0,1098,0.0,14
0,0,1151,0.0,12
0,0,1159,0.0,6
0,0,1212,0.0,8
0,0,1218,0.0,4
0,0,1226,0.0,2
0,0,1258,0.0,10
0,0,1269,0.0,14
0,0,1276,0.0,12
0,0,1306,0.0,8
0,0,1328,0.0,18
0,0,1377,0.0,20
0,0,1392,0.0,6
0,0,1447,0.0,10
0,0,1467,0.0,12
0,0,1637,0.0,8
0,0,1647,0.0,8
0,0,1727,0.0,14
0,0,1732,0.0,6
0,0,1733,0.0,24
0,0,1746,0.0,8
0,0,1768,0.0,26
0,0,1793,0.0,6
0,0,1886,0.0,14
0,0,1894,0.0,6
0,0,1917,0.0,6
0,0,1932,0.0,2
0,0,1933,0.0,2
0,0,1945,0.0,6
0,0,2032,0.0,22
0,0,2094,0.0,6
0,0,2098,0.0,24
0,0,2242,0.0,10
0,0,2250,0.0,12
0,0,2255,0.0,2
0,0,2268,0.0,8
0,0,2289,0.0,10
0,0,2309,0.0,10
0,0,2516,0.0,20
0,0,2580,0.0,8
0,0,2587,0.0,14
0,0,2589,0.0,22
0,0,2611,0.0,8
0,0,2672,0.0,14
0,0,2682,0.0,8
0,0,2725,0.0,2
0,0,2729,0.0,2
0,0,2752,0.0,16
0,0,2848,0.0,8
0,0,2896,0.0,6
0,0,2929,0.0,6
0,0,2954,0.0,8
0,0,3165,0.0,4
0,0,3173,0.0,18
0,0,3183,0.0,4
0,0,3188,0.0,2
0,0,3191,0.0,18
0,0,3195,0.0,20
0,0,3213,0.0,20
0,0,3214,0.0,10
0,0,3266,0.0,12
0,0,3291,0.0,16
0,0,3298,0.0,14
0,0,3324,0.0,18
0,0,3402,0.0,8
0,0,3418,0.0,6
0,0,3448,0.0,16
0,0,3475,0.0,8
0,0,3493,0.0,8
0,0,3508,0.0,4
0,0,3593,0.0,14
0,0,3650,0.0,4
0,0,3681,0.0,20
0,0,3743,0.0,8
0,0,3756,0.0,12
0,0,3786,0.0,12
0,0,3803,0.0,4
0,0,3823,0.0,8
0,0,3925,0.0,14
0,0,3984,0.0,4
0,0,3993,0.0,2
0,0,4034,0.0,12
0,0,4046,0.0,8
0,0,4099,0.0,12
0,0,4129,0.0,10
0,0,4144,0.0,12
0,0,4405,0.0,18
0,0,4436,0.0,6
0,0,4470,0.0,14
0,0,4607,0.0,18
0,0,4659,0.0,4
0,0,4678,0.0,8
0,0,4733,0.0,8
0,0,5008,0.0,18
0,0,5025,0.0,10
0,0,5031,0.0,12
0,0,5048,0.0,24
0,0,5051,0.0,10
0,0,5108,0.0,12
0,0,5222,0.0,10
0,0,5285,0.0,14
0,0,5374,0.0,24
0,0,5493,0.0,4
0,0,5531,0.0,20
0,0,5556,0.0,12
0,0,5620,0.0,6
0,0,5684,0.0,4
0,0,5689,0.0,24
0,0,5693,0.0,6
0,0,5743,0.0,24
0,0,5878,0.0,16
0,0,5928,0.0,6
0,0,5956,0.0,12
0,0,5972,0.0,18
0,0,5997,0.0,18
0,0,6047,0.0,10
0,0,6131,0.0,10
0,0,6170,0.0,10
0,0,6206,0.0,4
0,0,6272,0.0,2
0,0,6285,0.0,10
0,0,6300,0.0,4
0,0,6355,0.0,6
0,0,6375,0.0,4
0,0,6452,0.0,14
0,0,6490,0.0,16
0,0,6500,0.0,18
0,0,6593,0.0,24
0,0,6668,0.0,6
0,0,6792,0.0,16
0,0,6820,0.0,16
0,0,6829,0.0,6
0,0,6854,0.0,10
0,0,6857,0.0,14
0,0,6876,0.0,14
0,0,6913,0.0,10
0,0,6967,0.0,8
0,0,7059,0.0,18
0,0,7070,0.0,2
0,0,7073,0.0,8
0,0,7114,0.0,4
0,0,7274,0.0,2
